
       instance   k  n_red   m_red     n       m  heu_timelimit  exact_timelimit  do_confirm_crit  confirm_timelimit    R  reltg_size  do_heu   ss  ss_gen_1st  ss_fin_1st  chroma_k_early  chroma_k  crit_early  crit  edges     time  time_pp  time_confirm_crit  time_color  iter      ttb  itb  max_iter_diff  ss_fin_avg  ss_gen_avg  ss_gen_best  num_size_att  heu_mistakes  num_pp  avg_pp_reduced  avg_pp_skipped  calls_to_coloring  num_gen_subsets  infeas  clique_start  color_not_ok  seed
         wap07a  41   1605   96780  1809  103368            0.5                1                1               7200  200        1.08       1  213        1605         206               0         0           1     1   8375  7200.01  5540.95               7200      6277.6   267  1885.04   72             50    0.647821     0.71319          206           542             0     257         19.7588          23.144             126960            77682       0            40             0    10
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  536        1598         550               0         0           1     1  27979  7200.03  3747.96               7200     5666.36    90  4191.99   46             21     1.49243     1.50516          529           250             0      89         4.57303         7.32584              79215            31950       0            40             0     1
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  473        1598         473               0         0           1     1  23379  7200.01  3210.29               7200     5288.32   176  132.127    1              1     1.04578     1.05161          473           283             0      95         2.82105         18.0842              92187            46020       0            40             0     2
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  521        1598         486               0         0           1     1  27041  7200.02  3324.43               7200     5355.67   145   5365.5  105             90     1.20114     1.20732          486           250             0      93         2.67742         14.9892              87235            40315       0            40             0     3
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  533        1598         505               0         0           1     1  27584  7200.02  3949.35               7200     5696.52   104  5698.17   81             38     1.65589     1.66912          505           221             0      96         4.27083         10.3438              81537            30990       0            40             0     4
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  530        1598         552               0         0           1     1  27449  7200.02  3614.84               7200     5606.22    92  7200.02   91             35     1.46928     1.48069          530           263             0      91         4.15385         11.5495              80634            33142       0            40             0     5
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  532        1598         537               0         0           1     1  27523  7200.01  3736.68               7200     5631.42    92  3872.99   43             13      1.5273     1.53822          532           235             0      91         3.84615         10.2198              80210            32048       0            40             0     6
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  536        1598         541               0         0           1     1  27992     7200  3796.94               7200     5683.61    91  5355.84   63             25     1.57076     1.58429          535           238             0      90         4.64444         9.53333              78959            30906       0            40             0     7
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  529        1598         565               0         0           1     1  27143     7200  3649.83               7200     5628.97    91  6870.89   85             52     1.47191     1.48111          528           275             0      90         3.34444         8.56667              80094            32735       0            39             0     8
         wap08a  41   1598   95118  1870  104176            0.5                1                1               7200  200        1.08       1  527        1598         545               0         0           1     1  27287  7200.01  3752.34               7200     5659.28    92  6668.57   82             21     1.54843     1.56021          527           255             0      91          4.0989         8.32967              79753            31654       0            40             0     9
